ImageNumber,resource,OrderNumber,Title,VUtemp_ImageTitle,VUtemp_keywords,TitleLargerEntity,LocationCountry,Description,Culture,StylePeriod,DateCreation,CreatorArtist,Technique,Material,MeasurementDimension,LocationCurrentSite,Notes,DateCreated,DateUpdated,StaffNotes,DateDigitized,SourcePage,Fig. No,SourceTitle,SourceAuthor,CopyrightStatement,SourceCallNo,SourceISBN,SourcePubYear,SourcePubCity,SourcePublisher,PubVolume,PubIssue,MDID_Source,LocationCreationSite,MDID_Location,MDID_title,
59305,59305,2016,Marble unfinished Herm from Athens with double bust of Aristotle,,,,Greece,Copy of the Antonine period of an original work.,Greek,Late Classical to Early Hellenistic,ca. 400-301 BCE,unknown,sculpture,marble,h. 42 cm,"National Archaeological Museum of Athens, Greece",,40346,40346,,40352,p. 73,,Alexander the Great: History and Legend in Art,"Ninou, Kate, editor","© Archaeological Receipts Fund, Athens",,,1980,"Thessaloniki, Greece",Archaeological Museum of Thessaloniki,,,"Ninou, Kate, editor; Alexander the Great: History and Legend in Art; Archaeological Museum of Thessaloniki; Thessaloniki, Greece; 1980","Athens, Greece","Current: National Archaeological Museum of Athens, Greece;  Creation: Athens, Greece",Marble unfinished Herm from Athens with double bust of Aristotle,
59306,59306,2016,Copic textile from Egypt with Alexander on horseback and inscription,,,,Egypt,,Greek,Early Medieval,ca. 600-799 CE,unknown,textile,,33.5 x 33.15 cm,"Textile Museum of Washington, DC, United States ",,40346,40346,,40352,p. 75,,Alexander the Great: History and Legend in Art,"Ninou, Kate, editor","© Archaeological Receipts Fund, Athens",,,1980,"Thessaloniki, Greece",Archaeological Museum of Thessaloniki,,,"Ninou, Kate, editor; Alexander the Great: History and Legend in Art; Archaeological Museum of Thessaloniki; Thessaloniki, Greece; 1980",Egypt,"Current: Textile Museum of Washington, DC, United States ;  Creation: Egypt",Copic textile from Egypt with Alexander on horseback and inscription,
59307,59307,2016,Stone relief from Mistras: Alexander's Ascension to Heaven,,,,Greece,,Greek,Medieval,ca. 1300-1399 ,unknown,relief sculpture,stone,105 x 32 cm,"Mistras Museum of Mistras, Greece",,40346,40346,,40352,p. 76,,Alexander the Great: History and Legend in Art,"Ninou, Kate, editor","© Archaeological Receipts Fund, Athens",,,1980,"Thessaloniki, Greece",Archaeological Museum of Thessaloniki,,,"Ninou, Kate, editor; Alexander the Great: History and Legend in Art; Archaeological Museum of Thessaloniki; Thessaloniki, Greece; 1980","Mistras, Greece","Current: Mistras Museum of Mistras, Greece;  Creation: Mistras, Greece",Stone relief from Mistras: Alexander's Ascension to Heaven,
59308,59308,2016,Embroidery with seamaidens from Skyros,,,,Greece,,Greek,Early Modern,ca. 1800-1825 ,unknown,textile,,55 x 40 cm,"Benaki Museum of Athens, Greece",,40346,40346,,40352,p. 86,,Alexander the Great: History and Legend in Art,"Ninou, Kate, editor","© Archaeological Receipts Fund, Athens",,,1980,"Thessaloniki, Greece",Archaeological Museum of Thessaloniki,,,"Ninou, Kate, editor; Alexander the Great: History and Legend in Art; Archaeological Museum of Thessaloniki; Thessaloniki, Greece; 1980","Skyros, Greece","Current: Benaki Museum of Athens, Greece;  Creation: Skyros, Greece",Embroidery with seamaidens from Skyros,
59309,59309,2016,Wooden part of a saddle with a seamaiden holding a cross ,,,,Greece,,Greek,Modern,1924,unknown,sculpture,wood,h. 46 cm; w. 45 cm,Fr. Efthimiadi-Menegaki Collection,,40346,40346,,40352,p. 87,,Alexander the Great: History and Legend in Art,"Ninou, Kate, editor","© Archaeological Receipts Fund, Athens",,,1980,"Thessaloniki, Greece",Archaeological Museum of Thessaloniki,,,"Ninou, Kate, editor; Alexander the Great: History and Legend in Art; Archaeological Museum of Thessaloniki; Thessaloniki, Greece; 1980","Mytilene, Greece","Current: Fr. Efthimiadi-Menegaki Collection;  Creation: Mytilene, Greece",Wooden part of a saddle with a seamaiden holding a cross ,
59310,59310,2017,The Romance of Alexander,Alexander exploring the ocean depths in a diving bell,Alexander the Great,,France,,French,Gothic,1338-1344,Jehan de Grise and his workshop (active 1338-1344),illumination,tempera on vellum,,"Bodleian Library, Ms. no. 264, folio 50a, Oxford University, Oxford, England",,40347,40347,,40357,6,,In the Footsteps of Alexander the Great: A Journey from Greece to Asia,"Wood, Michael",© Michael Wood 1997,,0-520-21307-6,1997,"Berkeley and Los Angeles, CA",University of California Press,,,"Wood, Michael; In the Footsteps of Alexander the Great: A Journey from Greece to Asia; University of California Press; Berkeley and Los Angeles, CA; 1997",,"Current: Bodleian Library, Ms. no. 264, folio 50a, Oxford University, Oxford, England",The Romance of Alexander; Alexander exploring the ocean depths in a diving bell,
59310,59310,2017,The Romance of Alexander,Alexander exploring the ocean depths in a diving bell,Alexander the Great,,France,,French,Gothic,1338-1344,Jehan de Grise and his workshop (active 1338-1344),illumination,tempera on vellum,,"Bodleian Library, Ms. no. 264, folio 50a, Oxford University, Oxford, England",,40347,40347,,40357,6,,In the Footsteps of Alexander the Great: A Journey from Greece to Asia,"Wood, Michael",© Michael Wood 1997,,0-520-21307-6,1997,"Berkeley and Los Angeles, CA",University of California Press,,,"Wood, Michael; In the Footsteps of Alexander the Great: A Journey from Greece to Asia; University of California Press; Berkeley and Los Angeles, CA; 1997",,"Current: Bodleian Library, Ms. no. 264, folio 50a, Oxford University, Oxford, England",The Romance of Alexander; Alexander exploring the ocean depths in a diving bell,
59311,59311,2017,Silver tetradrachm with the head of Alexander the Great wearing the diadem and the ram's horn of the Egyptian god Ammon ,,Alexander the Great,,Greece,,Greek,Early Hellenistic,ca. 305-281 BCE,unknown,coins,silver,,"British Museum, London",,40347,40347,,40357,10,,In the Footsteps of Alexander the Great: A Journey from Greece to Asia,"Wood, Michael",© Michael Wood 1997,,0-520-21307-6,1997,"Berkeley and Los Angeles, CA",University of California Press,,,"Wood, Michael; In the Footsteps of Alexander the Great: A Journey from Greece to Asia; University of California Press; Berkeley and Los Angeles, CA; 1997",,"Current: British Museum, London",Silver tetradrachm with the head of Alexander the Great wearing the diadem and the ram's horn of the Egyptian god Ammon ,
59311,59311,2017,Silver tetradrachm with the head of Alexander the Great wearing the diadem and the ram's horn of the Egyptian god Ammon ,,Alexander the Great,,Greece,,Greek,Early Hellenistic,ca. 305-281 BCE,unknown,coins,silver,,"British Museum, London",,40347,40347,,40357,10,,In the Footsteps of Alexander the Great: A Journey from Greece to Asia,"Wood, Michael",© Michael Wood 1997,,0-520-21307-6,1997,"Berkeley and Los Angeles, CA",University of California Press,,,"Wood, Michael; In the Footsteps of Alexander the Great: A Journey from Greece to Asia; University of California Press; Berkeley and Los Angeles, CA; 1997",,"Current: British Museum, London",Silver tetradrachm with the head of Alexander the Great wearing the diadem and the ram's horn of the Egyptian god Ammon ,
59312,59312,2017,"Map of Alexander the Great's invasion of Asia via Greece and Turkey, 334-333 BCE",,Alexander the Great,,,,,,,,cartography,maps,,,,40347,40347,,40357,37,,In the Footsteps of Alexander the Great: A Journey from Greece to Asia,"Wood, Michael",© Michael Wood 1997,,0-520-21307-6,1997,"Berkeley and Los Angeles, CA",University of California Press,,,"Wood, Michael; In the Footsteps of Alexander the Great: A Journey from Greece to Asia; University of California Press; Berkeley and Los Angeles, CA; 1997",,,"Map of Alexander the Great's invasion of Asia via Greece and Turkey, 334-333 BCE",
59312,59312,2017,"Map of Alexander the Great's invasion of Asia via Greece and Turkey, 334-333 BCE",,Alexander the Great,,,,,,,,cartography,maps,,,,40347,40347,,40357,37,,In the Footsteps of Alexander the Great: A Journey from Greece to Asia,"Wood, Michael",© Michael Wood 1997,,0-520-21307-6,1997,"Berkeley and Los Angeles, CA",University of California Press,,,"Wood, Michael; In the Footsteps of Alexander the Great: A Journey from Greece to Asia; University of California Press; Berkeley and Los Angeles, CA; 1997",,,"Map of Alexander the Great's invasion of Asia via Greece and Turkey, 334-333 BCE",
59313,59313,2017,"The Sacred Way, south of Miletus, western Turkey, where Alexander came in the fall of 334 BCE on his way to Didyma",,Alexander the Great,,,,,,,,photography,color print,,,,40347,40347,,40357,50,,In the Footsteps of Alexander the Great: A Journey from Greece to Asia,"Wood, Michael",© Michael Wood 1997,,0-520-21307-6,1997,"Berkeley and Los Angeles, CA",University of California Press,,,"Wood, Michael; In the Footsteps of Alexander the Great: A Journey from Greece to Asia; University of California Press; Berkeley and Los Angeles, CA; 1997",,,"The Sacred Way, south of Miletus, western Turkey, where Alexander came in the fall of 334 BCE on his way to Didyma",
59313,59313,2017,"The Sacred Way, south of Miletus, western Turkey, where Alexander came in the fall of 334 BCE on his way to Didyma",,Alexander the Great,,,,,,,,photography,color print,,,,40347,40347,,40357,50,,In the Footsteps of Alexander the Great: A Journey from Greece to Asia,"Wood, Michael",© Michael Wood 1997,,0-520-21307-6,1997,"Berkeley and Los Angeles, CA",University of California Press,,,"Wood, Michael; In the Footsteps of Alexander the Great: A Journey from Greece to Asia; University of California Press; Berkeley and Los Angeles, CA; 1997",,,"The Sacred Way, south of Miletus, western Turkey, where Alexander came in the fall of 334 BCE on his way to Didyma",
59314,59314,2017,"The Issus battlefield today, where the armies of Alexander and Darius fought in November 333 BCE on the Payas river",,Alexander the Great,,,,,,,,photography,color print,,,,40347,40347,,40357,55,,In the Footsteps of Alexander the Great: A Journey from Greece to Asia,"Wood, Michael",© Michael Wood 1997,,0-520-21307-6,1997,"Berkeley and Los Angeles, CA",University of California Press,,,"Wood, Michael; In the Footsteps of Alexander the Great: A Journey from Greece to Asia; University of California Press; Berkeley and Los Angeles, CA; 1997",,,"The Issus battlefield today, where the armies of Alexander and Darius fought in November 333 BCE on the Payas river",
59314,59314,2017,"The Issus battlefield today, where the armies of Alexander and Darius fought in November 333 BCE on the Payas river",,Alexander the Great,,,,,,,,photography,color print,,,,40347,40347,,40357,55,,In the Footsteps of Alexander the Great: A Journey from Greece to Asia,"Wood, Michael",© Michael Wood 1997,,0-520-21307-6,1997,"Berkeley and Los Angeles, CA",University of California Press,,,"Wood, Michael; In the Footsteps of Alexander the Great: A Journey from Greece to Asia; University of California Press; Berkeley and Los Angeles, CA; 1997",,,"The Issus battlefield today, where the armies of Alexander and Darius fought in November 333 BCE on the Payas river",
59315,59315,2017,"Alexander the Great's Arch at Tyre, perhaps marking the place where the king's siege causeway started",,Alexander the Great,,,,,,,,photography,color print,,,,40347,40347,,40357,62,,In the Footsteps of Alexander the Great: A Journey from Greece to Asia,"Wood, Michael",© Michael Wood 1997,,0-520-21307-6,1997,"Berkeley and Los Angeles, CA",University of California Press,,,"Wood, Michael; In the Footsteps of Alexander the Great: A Journey from Greece to Asia; University of California Press; Berkeley and Los Angeles, CA; 1997",,,"Alexander the Great's Arch at Tyre, perhaps marking the place where the king's siege causeway started",
59315,59315,2017,"Alexander the Great's Arch at Tyre, perhaps marking the place where the king's siege causeway started",,Alexander the Great,,,,,,,,photography,color print,,,,40347,40347,,40357,62,,In the Footsteps of Alexander the Great: A Journey from Greece to Asia,"Wood, Michael",© Michael Wood 1997,,0-520-21307-6,1997,"Berkeley and Los Angeles, CA",University of California Press,,,"Wood, Michael; In the Footsteps of Alexander the Great: A Journey from Greece to Asia; University of California Press; Berkeley and Los Angeles, CA; 1997",,,"Map of Alexander the Great's march through Phoenicia (modern Syria and Lebanon), Israel, and Egypt (the founding of Alexandria) from the spring of 332 BCE through the spring of 331 BCE",
59316,59316,2017,"Map of Alexander the Great's march through Phoenicia (modern Syria and Lebanon), Israel, and Egypt (the founding of Alexandria) from the spring of 332 BCE through the spring of 331 BCE",,,,,,,,,,cartography,maps,,,,40347,40347,,40357,66,,In the Footsteps of Alexander the Great: A Journey from Greece to Asia,"Wood, Michael",© Michael Wood 1997,,0-520-21307-6,1997,"Berkeley and Los Angeles, CA",University of California Press,,,"Wood, Michael; In the Footsteps of Alexander the Great: A Journey from Greece to Asia; University of California Press; Berkeley and Los Angeles, CA; 1997",,,"Map of Alexander the Great's march through Phoenicia (modern Syria and Lebanon), Israel, and Egypt (the founding of Alexandria) from the spring of 332 BCE through the spring of 331 BCE",
59316,59316,2017,"Map of Alexander the Great's march through Phoenicia (modern Syria and Lebanon), Israel, and Egypt (the founding of Alexandria) from the spring of 332 BCE through the spring of 331 BCE",,Alexander the Great,,,,,,,,cartography,maps,,,,40347,40347,,40357,66,,In the Footsteps of Alexander the Great: A Journey from Greece to Asia,"Wood, Michael",© Michael Wood 1997,,0-520-21307-6,1997,"Berkeley and Los Angeles, CA",University of California Press,,,"Wood, Michael; In the Footsteps of Alexander the Great: A Journey from Greece to Asia; University of California Press; Berkeley and Los Angeles, CA; 1997",,,"Map of Alexander the Great's march through Phoenicia (modern Syria and Lebanon), Israel, and Egypt (the founding of Alexandria) from the spring of 332 BCE through the spring of 331 BCE",
59317,59317,2017,Temple of Amenophis III,Sunken relief of Alexander the Great as Pharaoh of Egypt worshiping the god Min in his chapel,,,Egypt,,Egyptian,Ptolemaic,ca. 304-30 BCE,unknown,architecture,stone,,"Luxor, Egypt",,40347,40347,,40357,73,,In the Footsteps of Alexander the Great: A Journey from Greece to Asia,"Wood, Michael",© Michael Wood 1997,,0-520-21307-6,1997,"Berkeley and Los Angeles, CA",University of California Press,,,"Wood, Michael; In the Footsteps of Alexander the Great: A Journey from Greece to Asia; University of California Press; Berkeley and Los Angeles, CA; 1997",,"Current: Luxor, Egypt",Sunken relief of Alexander the Great as Pharaoh of Egypt worshiping the god Min in his chapel; Sunken relief of Alexander the Great as Pharaoh of Egypt worshiping the god Min in his chapel,
59317,59317,2017,Temple of Amenophis III,Sunken relief of Alexander the Great as Pharaoh of Egypt worshiping the god Min in his chapel,Alexander the Great,,Egypt,,Egyptian,Ptolemaic,ca. 304-30 BCE,unknown,architecture,stone,,"Luxor, Egypt",,40347,40347,,40357,73,,In the Footsteps of Alexander the Great: A Journey from Greece to Asia,"Wood, Michael",© Michael Wood 1997,,0-520-21307-6,1997,"Berkeley and Los Angeles, CA",University of California Press,,,"Wood, Michael; In the Footsteps of Alexander the Great: A Journey from Greece to Asia; University of California Press; Berkeley and Los Angeles, CA; 1997",,"Current: Luxor, Egypt",Sunken relief of Alexander the Great as Pharaoh of Egypt worshiping the god Min in his chapel; Sunken relief of Alexander the Great as Pharaoh of Egypt worshiping the god Min in his chapel,
59318,59318,2017,Map of Alexander the Great's march through Iraq and Iran during the spring and winter of 331 BCE,,,,,,,,,,cartography,maps,,,,40347,40347,,40357,87,,In the Footsteps of Alexander the Great: A Journey from Greece to Asia,"Wood, Michael",© Michael Wood 1997,,0-520-21307-6,1997,"Berkeley and Los Angeles, CA",University of California Press,,,"Wood, Michael; In the Footsteps of Alexander the Great: A Journey from Greece to Asia; University of California Press; Berkeley and Los Angeles, CA; 1997",,,Map of Alexander the Great's march through Iraq and Iran during the spring and winter of 331 BCE,
59318,59318,2017,Map of Alexander the Great's march through Iraq and Iran during the spring and winter of 331 BCE,,Alexander the Great,,,,,,,,cartography,maps,,,,40347,40347,,40357,87,,In the Footsteps of Alexander the Great: A Journey from Greece to Asia,"Wood, Michael",© Michael Wood 1997,,0-520-21307-6,1997,"Berkeley and Los Angeles, CA",University of California Press,,,"Wood, Michael; In the Footsteps of Alexander the Great: A Journey from Greece to Asia; University of California Press; Berkeley and Los Angeles, CA; 1997",,,Map of Alexander the Great's march through Iraq and Iran during the spring and winter of 331 BCE,
59319,59319,2017,Aerial view of Babylon,,,,,,,,,,photography,color print,,,,40347,40347,,40357,93,,In the Footsteps of Alexander the Great: A Journey from Greece to Asia,"Wood, Michael",© Michael Wood 1997,,0-520-21307-6,1997,"Berkeley and Los Angeles, CA",University of California Press,,,"Wood, Michael; In the Footsteps of Alexander the Great: A Journey from Greece to Asia; University of California Press; Berkeley and Los Angeles, CA; 1997",,,Aerial view of Babylon,
59319,59319,2017,Aerial view of Babylon,,,,,,,,,,photography,color print,,,,40347,40347,,40357,93,,In the Footsteps of Alexander the Great: A Journey from Greece to Asia,"Wood, Michael",© Michael Wood 1997,,0-520-21307-6,1997,"Berkeley and Los Angeles, CA",University of California Press,,,"Wood, Michael; In the Footsteps of Alexander the Great: A Journey from Greece to Asia; University of California Press; Berkeley and Los Angeles, CA; 1997",,,Aerial view of Babylon,
59320,59320,2017,"Aerial view of Susa, looking south",,,,,,,,,,photography,color print,,,,40347,40347,,40357,97,,In the Footsteps of Alexander the Great: A Journey from Greece to Asia,"Wood, Michael",© Michael Wood 1997,,0-520-21307-6,1997,"Berkeley and Los Angeles, CA",University of California Press,,,"Wood, Michael; In the Footsteps of Alexander the Great: A Journey from Greece to Asia; University of California Press; Berkeley and Los Angeles, CA; 1997",,,"Aerial view of Susa, looking south",
59320,59320,2017,"Aerial view of Susa, looking south",,,,,,,,,,photography,color print,,,,40347,40347,,40357,97,,In the Footsteps of Alexander the Great: A Journey from Greece to Asia,"Wood, Michael",© Michael Wood 1997,,0-520-21307-6,1997,"Berkeley and Los Angeles, CA",University of California Press,,,"Wood, Michael; In the Footsteps of Alexander the Great: A Journey from Greece to Asia; University of California Press; Berkeley and Los Angeles, CA; 1997",,,"Aerial view of Susa, looking south",
59321,59321,2017,Palace of Darius the Great,"Griffons under the winged disc of Ahura Mazda, the god of Wisdom",,,Persia (modern Iran),,Persian,Achaemenid ,ca. 500 BCE,unknown,architecture,glazed brick,,"Susa (modern Shush), Iran",,40347,40347,,40357,100,,In the Footsteps of Alexander the Great: A Journey from Greece to Asia,"Wood, Michael",© Michael Wood 1997,,0-520-21307-6,1997,"Berkeley and Los Angeles, CA",University of California Press,,,"Wood, Michael; In the Footsteps of Alexander the Great: A Journey from Greece to Asia; University of California Press; Berkeley and Los Angeles, CA; 1997",,"Current: Susa (modern Shush), Iran","Palace of Darius the Great; Griffons under the winged disc of Ahura Mazda, the god of Wisdom",
59321,59321,2017,Palace of Darius the Great,"Griffons under the winged disc of Ahura Mazda, the god of Wisdom",,,Persia (modern Iran),,Persian,Achaemenid ,ca. 500 BCE,unknown,architecture,glazed brick,,"Louvre, Paris",,40347,40347,,40357,100,,In the Footsteps of Alexander the Great: A Journey from Greece to Asia,"Wood, Michael",© Michael Wood 1997,,0-520-21307-6,1997,"Berkeley and Los Angeles, CA",University of California Press,,,"Wood, Michael; In the Footsteps of Alexander the Great: A Journey from Greece to Asia; University of California Press; Berkeley and Los Angeles, CA; 1997","Susa (modern Shush), Iran","Current: Louvre, Paris;  Creation: Susa (modern Shush), Iran","Palace of Darius the Great; Griffons under the winged disc of Ahura Mazda, the god of Wisdom",
59322,59322,2017,Palace of Darius the Great,"Frieze of archers of the Persian royal guard, the Immortals",,,Persia (modern Iran),,Persian,Achaemenid ,ca. 500 BCE,unknown,architecture,glazed brick,,"Louvre, Paris",,40347,40347,,40357,101,,In the Footsteps of Alexander the Great: A Journey from Greece to Asia,"Wood, Michael",© Michael Wood 1997,,0-520-21307-6,1997,"Berkeley and Los Angeles, CA",University of California Press,,,"Wood, Michael; In the Footsteps of Alexander the Great: A Journey from Greece to Asia; University of California Press; Berkeley and Los Angeles, CA; 1997","Susa (modern Shush), Iran","Current: Louvre, Paris;  Creation: Susa (modern Shush), Iran","Palace of Darius the Great; Frieze of archers of the Persian royal guard, the Immortals",
59323,59323,2017,Palace of Darius the Great,Bull capital (adorsed) from the apadana or royal audience hall,,,Persia (modern Iran),,Persian,Achaemenid ,ca. 500 BCE,unknown,architecture,stone,,"Persepolis (Parsa), Iran",,40347,40347,,40357,112,,In the Footsteps of Alexander the Great: A Journey from Greece to Asia,"Wood, Michael",© Michael Wood 1997,,0-520-21307-6,1997,"Berkeley and Los Angeles, CA",University of California Press,,,"Wood, Michael; In the Footsteps of Alexander the Great: A Journey from Greece to Asia; University of California Press; Berkeley and Los Angeles, CA; 1997",,"Current: Persepolis (Parsa), Iran",Palace of Darius the Great; Bull capital (adorsed) from the apadana or royal audience hall,
59324,59324,2017,"Shahnama, epic poem by Firdowsi ",Alexander comforts the Persian king Darius,Alexander the Great,,Central Asia,,Central Asian,,1533,unknown,illumination,tempera on vellum,,"Bodleian Library, Oxford University, Oxford, England",,40347,40347,,40357,124,,In the Footsteps of Alexander the Great: A Journey from Greece to Asia,"Wood, Michael",© Michael Wood 1997,,0-520-21307-6,1997,"Berkeley and Los Angeles, CA",University of California Press,,,"Wood, Michael; In the Footsteps of Alexander the Great: A Journey from Greece to Asia; University of California Press; Berkeley and Los Angeles, CA; 1997","Bukhara, Central Asia","Current: Bodleian Library, Oxford University, Oxford, England;  Creation: Bukhara, Central Asia","Shahnama, epic poem by Firdowsi ; Alexander comforts the Persian king Darius",
59325,59325,2017,"Map of Alexander the Great's route to the east through Media, Hyrcania, and Parthia (331 BCE)",,Alexander the Great,,,,,,,unknown,cartography,maps,,,,40347,40347,,40357,127,,In the Footsteps of Alexander the Great: A Journey from Greece to Asia,"Wood, Michael",© Michael Wood 1997,,0-520-21307-6,1997,"Berkeley and Los Angeles, CA",University of California Press,,,"Wood, Michael; In the Footsteps of Alexander the Great: A Journey from Greece to Asia; University of California Press; Berkeley and Los Angeles, CA; 1997",,,"Map of Alexander the Great's route to the east through Media, Hyrcania, and Parthia (331 BCE)",
59326,59326,2017,"Map of Alexander the Great's route through Afghanistan, Uzbekistan, and Tajikistan (329-327 BCE)  ",,Alexander the Great,,,,,,,unknown,cartography,maps,,,,40347,40347,,40357,135,,In the Footsteps of Alexander the Great: A Journey from Greece to Asia,"Wood, Michael",© Michael Wood 1997,,0-520-21307-6,1997,"Berkeley and Los Angeles, CA",University of California Press,,,"Wood, Michael; In the Footsteps of Alexander the Great: A Journey from Greece to Asia; University of California Press; Berkeley and Los Angeles, CA; 1997",,,"Map of Alexander the Great's route through Afghanistan, Uzbekistan, and Tajikistan (329-327 BCE)  ",
59327,59327,2017,Alexander the Great before a Hindu idol,,Alexander the Great,,Persia,,Persia,Persian,1494,unknown,illumination,tempera on vellum,,,,40347,40347,,40357,168,,In the Footsteps of Alexander the Great: A Journey from Greece to Asia,"Wood, Michael",© Michael Wood 1997,,0-520-21307-6,1997,"Berkeley and Los Angeles, CA",University of California Press,,,"Wood, Michael; In the Footsteps of Alexander the Great: A Journey from Greece to Asia; University of California Press; Berkeley and Los Angeles, CA; 1997",,Persia,Alexander the Great before a Hindu idol,
59328,59328,2017,"Silver tetradrachm with Alexander wearing an elephant skin on his head, symbolizing the conquest of India",,Alexander the Great,,Greece,,Greek,Early Hellenistic,315-300 BCE,unknown,coins,silver,,"Fitzwilliam Museum, Cambridge, England",,40347,40347,,40357,169,,In the Footsteps of Alexander the Great: A Journey from Greece to Asia,"Wood, Michael",© Michael Wood 1997,,0-520-21307-6,1997,"Berkeley and Los Angeles, CA",University of California Press,,,"Wood, Michael; In the Footsteps of Alexander the Great: A Journey from Greece to Asia; University of California Press; Berkeley and Los Angeles, CA; 1997","Alexandria, Egypt","Current: Fitzwilliam Museum, Cambridge, England;  Creation: Alexandria, Egypt","Silver tetradrachm with Alexander wearing an elephant skin on his head, symbolizing the conquest of India",
59329,59329,2017,Map of Alexander's invasion of Pakistan and India (327-326 BCE),,Alexander the Great,,,,,,,,cartography,maps,,,,40347,40347,,40357,171,,In the Footsteps of Alexander the Great: A Journey from Greece to Asia,"Wood, Michael",© Michael Wood 1997,,0-520-21307-6,1997,"Berkeley and Los Angeles, CA",University of California Press,,,"Wood, Michael; In the Footsteps of Alexander the Great: A Journey from Greece to Asia; University of California Press; Berkeley and Los Angeles, CA; 1997",,,Map of Alexander's invasion of Pakistan and India (327-326 BCE),
59330,59330,2017,Tomb of the Prince,"Philip and the young Alexander (as Pan) with Olympias, ivory relief ornament from the funerary couch",Alexander the Great,,Greece,,Greek,Early Hellenistic,ca. 310-300 BCE,unknown,architecture,stone,,"Archaeological Museum, Thessaloniki",,40347,40347,,40357,172,,In the Footsteps of Alexander the Great: A Journey from Greece to Asia,"Wood, Michael",© Michael Wood 1997,,0-520-21307-6,1997,"Berkeley and Los Angeles, CA",University of California Press,,,"Wood, Michael; In the Footsteps of Alexander the Great: A Journey from Greece to Asia; University of California Press; Berkeley and Los Angeles, CA; 1997","Vergina, Greece","Current: Archaeological Museum, Thessaloniki;  Creation: Vergina, Greece","Philip and the young Alexander (as Pan) with Olympias, ivory relief ornament from the funerary couch; Philip and the young Alexander (as Pan) with Olympias, ivory relief ornament from the funerary couch",
59331,59331,2017,"On the path up to the heights of Pir Sar (Aornos), looking north toward the Karakorum",,Alexander the Great,, ,,,,,unknown,photography,color print,,,,40347,40347,,40357,180,,In the Footsteps of Alexander the Great: A Journey from Greece to Asia,"Wood, Michael",© Michael Wood 1997,,0-520-21307-6,1997,"Berkeley and Los Angeles, CA",University of California Press,,,"Wood, Michael; In the Footsteps of Alexander the Great: A Journey from Greece to Asia; University of California Press; Berkeley and Los Angeles, CA; 1997",, ,"On the path up to the heights of Pir Sar (Aornos), looking north toward the Karakorum",
59332,59332,2017,Silver decadrachm of Alexander the Great commemorating the battle at the Jhelum river in the Punjab,Alexander on Bucephalus attacking the Indian king Porus on his war elephant (obverse); Alexander crowned by Nike (reverse),Alexander the Great,,Greece,,Greek,Late Classical,ca. 324 BCE,unknown,coins,silver,diam. 31 mm; wt 42.2 g,"British Museum, London",,40347,40347,,40357,185,,In the Footsteps of Alexander the Great: A Journey from Greece to Asia,"Wood, Michael",© Michael Wood 1997,,0-520-21307-6,1997,"Berkeley and Los Angeles, CA",University of California Press,,,"Wood, Michael; In the Footsteps of Alexander the Great: A Journey from Greece to Asia; University of California Press; Berkeley and Los Angeles, CA; 1997",,"Current: British Museum, London",Silver decadrachm of Alexander the Great commemorating the battle at the Jhelum river in the Punjab; Alexander on Bucephalus attacking the Indian king Porus on his war elephant (obverse); Alexander crowned by Nike (reverse),
59333,59333,2017,"Shahnama, epic poem by Firdowsi ",Alexander meeting the Brahmins,Alexander the Great,,India,,Indian,,1719,unknown,illumination,tempera on vellum,,"British Library, London",,40347,40347,,40357,193,,In the Footsteps of Alexander the Great: A Journey from Greece to Asia,"Wood, Michael",© Michael Wood 1997,,0-520-21307-6,1997,"Berkeley and Los Angeles, CA",University of California Press,,,"Wood, Michael; In the Footsteps of Alexander the Great: A Journey from Greece to Asia; University of California Press; Berkeley and Los Angeles, CA; 1997",,"Current: British Library, London","Shahnama, epic poem by Firdowsi ; Alexander meeting the Brahmins",
59334,59334,2017,"Medieval shrine on the old mound of Uchch, south of Multan, in the southern Punjab ",,Alexander the Great,,Pakistan, ,,,,,architecture,stone,,"Uchch Shariff (Uchch the Holy), probably the site of the Greek city called Alexandria at the confluence of the Indus with the Pubjab rivers",,40347,40347,,40357,201,,In the Footsteps of Alexander the Great: A Journey from Greece to Asia,"Wood, Michael",© Michael Wood 1997,,0-520-21307-6,1997,"Berkeley and Los Angeles, CA",University of California Press,,,"Wood, Michael; In the Footsteps of Alexander the Great: A Journey from Greece to Asia; University of California Press; Berkeley and Los Angeles, CA; 1997",,"Current: Uchch Shariff (Uchch the Holy), probably the site of the Greek city called Alexandria at the confluence of the Indus with the Pubjab rivers","Medieval shrine on the old mound of Uchch, south of Multan, in the southern Punjab ",
59335,59335,2017,"Map of the return routes of Alexander, Nearchus, and Craterus through Pakistan, Iran, and Iraq (326-325 BCE) ",,Alexander the Great,,,,,,,,cartography,maps,,,,40347,40347,,40357,211,,In the Footsteps of Alexander the Great: A Journey from Greece to Asia,"Wood, Michael",© Michael Wood 1997,,0-520-21307-6,1997,"Berkeley and Los Angeles, CA",University of California Press,,,"Wood, Michael; In the Footsteps of Alexander the Great: A Journey from Greece to Asia; University of California Press; Berkeley and Los Angeles, CA; 1997",,,"Map of the return routes of Alexander, Nearchus, and Craterus through Pakistan, Iran, and Iraq (326-325 BCE) ",
